Cost,Name,Source,Description
300CP,Force of Will,City of Heroes,"Rather than boost your Willpower, this set turns it into a weapon. You can use bursts of Will as bolts of 
force and you are able to demoralize your opponents with your sheer bravado. Your ability to leap is also 
increased and when you master your Force of Will you can unlock an ability that gives you a minute of 
doubled strength and speed once per day. "
300CP,Cloning/Duplication,Generic Super Academy,"You have the ability to multiply yourself in some way. This could be an innate power, you 
could have a flash-cloning device implanted in you, maybe it is a spell, or you are summoning 
doubles from extremely similar alternate realities. Regardless, your clones will obey your 
commands, will flawlessly coordinate with you, and will always acknowledge you as the original. 
They appear around you, spreading out as space fills and they possess all of your abilities 
except this one and they possess any items that you are wearing or holding, up to your own 
mass in weight, but these items disappear if taken from the clone. A clone that is killed is 
unavailable until it regenerates, which takes about an hour, but that time can be lessened by 
Regeneration powers or abilities. Fanwank responsibly, please. 
At Street Tier you can create up to two full copies of yourself that can last as long as you 
wish, or up to twenty copies that can only last up to thirty minutes before disappearing in some way. 
At National Tier you can create up to twenty copies of yourself that can last as long as 
you wish, or up to one hundred copies that can only last up to thirty minutes before disappearing 
in some way. You also possess a full hive mind with your clones and can freely share their memories. 
At Global Tier you can create up to fifty copies of yourself that can last as long as you 
wish, or up to five hundred copies that can only last up to one hour before disappearing in some 
way. Also, you can switch places with any of your copies with just a moment of concentration. 
At Cosmic Tier you can create up to one hundred copies of yourself that can last as long 
as you wish, or up to one thousand copies that can only last up to one hour before disappearing 
in some way. Any of your clones can become the new real you if your original body is 
destroyed, meaning you can only truly die if all copies are dead."
300CP,Elemental Kinesis,Generic Super Academy,"You have the ability to control, manipulate, and generate a specific natural element. 
Examples include fire, water, air, earth, lightning, light, plants, metal, etc. Nothing truly exotic, 
that’s a different power. You may buy this multiple times for different elements. 
At Street Tier a person with the fire element could easily act as a human flamethrower, 
and a water user could generate and manipulate water on the level of a powerful fire hose or 
water-cannon such as might be found on an anti-riot vehicle. 
At National Tier a wind user might be able to fly and knock down houses with 
concentrated gusts, and Earth users could create large sinkholes, break apart buildings easily, 
and send huge boulders flying through the air, while Light users could fire off huge lasers and 
simulate super-speed by briefly shifting into light. Master Avatar the Last Airbender elemental 
benders are often at this level. 
At Global Tier a plant user could potentially overrun a city with vines and plant life given 
a bit of time, a metal user could conjure up and shape huge amounts of (regular) metals for all 
sorts of different purposes similar to an Earth user such that creating a replica of the golden 
gate bridge (if they had the right architectural skills and knowledge) would not be out of the 
realm of possibility. The ability to become a living golem of your Element is possible at this level. 
At Cosmic Tier depending on your element you might be able to flood worlds, set 
atmospheres on fire, shift tectonic plates, overrun entire planets with plant life, or possibly send 
forth gargantuan torrents of lightning and light that could scour worlds down to the bedrock 
given a bit of time and effort."
300CP,Exotic Force Manipulation,Generic Super Academy,"You have the ability to control, manipulate, and generate a specific force, energy, or 
concept, such as magnetism, gravity, the strong or weak nuclear force, temperature, time, 
space, darkness, holy energy, corruption, or weather. You may buy this multiple times for 
different forces. You have an intuitive understanding of the force you control. 
At Street Tier this force can be powerful enough to easily destroy a large automobile or 
can shield against similar attacks. Manipulation of the energy is basic, not allowing for fine 
control. 
At National Tier this force can destroy buildings, create powerful protections, or allow 
manipulation at the same level as a human hand. At this level, this force can often be used for 
flight, usually topping out around 100mph. 
At Global Tier this force could be unleashed on an entire city, calling up massive storms 
or crushing things in extreme gravity. Fine control is at the microscopic level, and you can easily 
sense the force you control, detecting gravity or magnetic fields. At this level you are immune to 
direct harm from the force you control. 
At Cosmic Tier you could warp the magnetic field of an entire planet, drag the moon out 
of orbit with your gravity, permanently alter the weather patterns, or similar feats. You can 
control this force at the subatomic level and detect it clearly enough to replace your regular 
senses."
300CP,Exotic Striker,Generic Super Academy,"You have an ability that requires you to touch your target. This could be a corrosive 
touch, a healing effect, power suppression, vicious adamantium claws, or a variety of other 
things. These effects are often more powerful or more versatile than ranged attacks at the same 
power Tier. This can be taken multiple times. 
 At Street Tier this could be a powerful stunning or paralyzing touch. It could be a healing 
touch capable of closing wounds and stabilizing critical patients, or a corrosive touch on the 
same level as sulfuric acid, or perhaps a set of claws or talons capable of piercing steel. 
At National Tier you could lock someone in time and space relative to the planetary body, 
restore a severely injured person to full health, or eat through steel like it was cotton candy. 
At Global Tier these effects are often more versatile. This could transform a person into 
an animal, function as biokinesis, disintegrate any normal form of matter, or turn off powers of 
equal or lesser potency. 
At Cosmic Tier this could transmute matter at the atomic level, disintegrate even 
supposedly indestructible super-materials, disrupt enchantments laid down by the gods, or turn 
matter into antimatter."
300CP,Illusion,Generic Super Academy,"You have the ability to project illusions. This could be sophisticated holographic 
projectors, illusion magic, psychic sensory manipulation, or light manipulation. This power 
comes with whatever creative talent needed to make them believable. You have perfect mental 
visualization and enhanced creativity no matter what tier of this power you have. 
At Street Tier this limited to a single sense at a time. You can create your illusions 
anywhere you have line-of-sight, and they can be as large as a single-story suburban home or 
the equivalent for senses other than sight. Anyone in the area can perceive the illusion. You 
must keep some attention on an illusion to maintain it, causing illusions to fall if you are asleep, 
unconscious, being tortured, or something similarly distracting. 
At National Tier you can affect the five common senses all at once, and your illusion can 
be as large as you wish, though you must have line-of-sight on the whole thing. You can also 
program movements for the illusion to make, and the illusion will persist without constant attention. 
At Global Tier you can affect any sense a human has, as well as any sense you 
personally possess. Illusions can react and move as if they were the object, creatures or 
otherwise that they appear to be, and you can choose who does and does not perceive the 
illusion. You can make illusions so believable that people react as if they were real when 
interacting with them, such as feeling the heat from a dragon’s breath or the pain of a woman’s 
slap. Illusory attacks could cause someone to feel pain or go unconscious. The illusions still do 
not have actual physical substance. 
At Cosmic Tier you can affect senses you do not share and can create illusions that 
stretch out of your own sensory range, as long as you can perceive where the illusion starts 
from. You could cover an entire planet if you chose to do so. You can also make smaller 
illusions that are so believable that a person killed by them will actually die. Finally, you can 
make small, simple illusions that are real enough to fool reality itself, allowing you to create 
non-living objects that can be up to a single-story suburban home in size, and can function as 
long as you have a good idea of how the real object would work."
300CP,Ranged Blaster,Generic Super Academy,"You have the ability to send out blasts of energy, or perhaps some sort of kinetic attack, 
as you desire. These are almost always abilities and powers focused on the application of 
destruction force, but not always. A healing ray is a viable choice instead of a laser cannon, 
though the specifics of your power must be determined at the start of power creation. Your rate 
of fire can either be a slightly less powerful, but continuous, beam or instead individual shots 
that usually take a second or two to charge up, though higher Tiers may be able to increase that 
firing speed. All tiers have precision control of their blasts level of strength, from full power to 
barely more than a light tap. This can be taken multiple times. 
At Street Tier your blasts can core straight through cars and the walls of your average 
building, with a range comparable to a modern rifle. 
At National Tier your blasts can gut tanks, and could hit out to the horizon. They might 
have active tracking effects at this point, or be formed of exotic energies that make traditional 
defenses less useful. 
At Global Tier your blasts could sink battleships and tear through skyscrapers, and you 
could hit someone in California from New York if you were aware of them. Your blasts can 
potentially make hard turns at this level, and might be able to split up into smaller and less 
powerful blasts or beams to hit larger areas or make dodging more difficult. At this level you 
have much greater control over the effects of your blasts, and could do things like making lasers 
that freeze, burn, stun, disorient, or other sorts of effects, not unlike the hero and Triumvirate 
member Legend from Worm. 
At Cosmic Tier you’re basically rocking out Omega Beams like what Darkseid has, your 
attacks are incredibly hard to avoid and only those with Cosmic defenses could hope to resist 
them. Secondary effects of your blasts can have very exotic effects, and their power is enough 
you could Base Delta Zero a planet given a bit of time."
300CP,Shapeshifter,Generic Super Academy,"You have the ability to alter your physical form, gaining the physical capabilities of this 
new shape. You could be a werewolf, the avatar of some cosmic energy linking all animal life, a 
macro-sized sentient virus capable of taking virtually any form, a liquid metal robot or a number 
of other things. Basic use of a new form, such as standing and moving around, is instinctive. 
The single alternate form versions of this power can be taken multiple times. 
 At Street Tier you can either take on the forms of beings mostly similar to you in mass 
and shape, such as being able to look like a different person, or you have a single alternate 
shape that can be substantially different, such as taking on the form of a specific animal or 
machine. Other options are to be able to decrease your body’s density, turning you into a gas, 
or to increase it, making you as tough and sturdy as stone. 
 At National Tier you could change into any of a group of forms, such as any animal or 
any plant, or be able to alter your shape at will as long as you maintain the same mass, like 
growing claws or wings. Other options are to be able to decrease your body’s density, making 
you incorporeal to physical effects but still affected by energy, or to increase it, making you as 
tough and sturdy as steel or diamond. 
At Global Tier you can change into virtually anything made of matter, with mass no 
longer being an issue or have single alternate form that is more exotic, such as stable such as 
being made of light or pure magic. Alternately, you could change into a large swarm of creatures 
and maintain a single mind in control of them. Another option is to be able to both decrease your 
body’s density, turning you incorporeal, and increase it, making you incredibly tough and sturdy 
beyond most known materials. 
At Cosmic Tier your form can be virtually anything, including energy, and can change at 
will. You could be a ball of light or a wave of gravity, or even something that technically does not 
exist, such as a field of darkness."
300CP,Super Speed,Generic Super Academy,"You have the ability to go fast, effectively making you what is frequently referred to as a 
“speedster”, in comics parlance. You have the requisite reflexes to use your speed no matter 
what tier you are at, though these boosted reflexes are only in effect when actively using your 
speed. You also never get tired while running. If you have some other form of exotic movement, 
such as flight, this power works in conjunction with it. 
At Street Tier you can run at several hundred miles an hour, and no longer need to worry 
about the potential downsides of moving at super speed no matter how fast you go. Your 
metabolism ensures you always stay fit and lean, regardless of how many calories you take in. 
At National Tier you are easily supersonic in speed, and can safely move other people 
and objects around with you while moving about. 
At Global Tier you are hypersonic, and objects you interact with may, at your discretion, 
have the kinetic force of your speed transferred into them. You might break your hand punching 
a wall, but that wall would turn into high velocity shrapnel. You have absolute control over this 
effect, meaning you’ll never accidently use it. 
At Cosmic Tier you are a genuine knock-off Speed Force Speedster, comparable to the 
Flash. You can easily run faster than light and can do all sorts of speed related tricks similar to 
what the Flash might do, potentially including (not terribly accurate) time travel. This does not 
make the Speed Force (or similar, like Quickness Force or whatever) a thing in your setting, 
though it could if you want it to. By default, the assumption is that you have powers similar, but 
not precisely the same mechanically, as the Flash."
300CP,Technopathy,Generic Super Academy,"The power to control technology via supernatural methods, typically shown as similar to 
telepathy but working on machines, though obviously you may decide to have it operate 
differently. The primary focus of this power is to control and usurp technological devices to 
serve your own ends. All tiers of this power grant the user an intuitive understanding of the 
workings of the technology being manipulated and enhanced multi-tasking, increasing in depth 
and scope in terms of the speed of understanding and the number of things the user can focus on the higher the tier. 
At Street Tier you could easily crack any mundane computer security given a bit of effort, 
and can ‘connect’ with technology up to a hundred feet away from yourself, you can focus on 
about a dozen things at a time, and you could reasonably discern the workings of any purely 
mundane technology within a few moments, and low-end super-gadgetry given a few minutes to concentrate. 
At National Tier you could make a good run at understanding and subverting low-end 
“super” technology in a combat relevant timeframe, and face no trouble at all when dealing with 
purely mundane devices. At this level you’ve unlocked low-end telekinesis specifically useful 
only for interacting with technology, such as pressing buttons or moving levers on mechanical 
devices. Your range caps out at around a thousand feet away from you, and you can focus on 
several hundred processes at once. 
At Global Tier your range is increased to a distance of several miles, and you can 
potentially extend this range via networked devices. You can disable and subvert AI at this point 
if you’re careful about it, alongside mid-level supertech, and your technological-telekinesis has 
shifted to the point you can cobble together semi-haphazard devices from random bits and 
bobs, so long as you’ve got roughly the right amount and type of materials and know what 
you’re trying to put together, and you can split your focus thousands of times over. 
At Cosmic Tier you are the (metaphorical) god in the machine. Your range could easily 
cover an entire planet, and only the most powerful AI or similar digital entities could hope to stall 
or stymie you, letting you use your abilities on all but the most extreme hypertech with near 
impunity. Your technological-telekinesis is precise enough at this level that so long as you’ve got 
some base materials to work with you could readily construct even super-tech devices without 
the need for tools, workshops, clean-rooms, or similar such things assuming you have the 
requisite knowledge. Your multitasking at this point is sufficient that you could run the logistics of an entire planet by yourself."
300CP,Teleportation,Generic Super Academy,"The ability to move from one place to another without crossing the intervening distance. 
You may either personally teleport or you may create portals, but the other version is discounted, including Tier costs. 
At Street Tier you can teleport to any place within one hundred meters of your current 
location, either via a personal teleport or the creation of a short lived portal made immediately adjacent to you. 
At National Tier you may teleport to any location within line of sight or a place that you 
are extremely familiar with, or create a portal within ten meters of you to achieve the same effect 
which will last for a few moments if you want it to. 
At Global Tier you can teleport to any place you’ve been or can perceive, and your 
portals last as long as you concentrate on them. At this level you can potentially teleport or 
portal to other nearby dimensions, if such exist, perform (small) group teleports, and are 
immune to being telefragged or other teleporting accidents. You may additionally telefrag 
others, though beings and things with exotic defenses might be able to ignore or resist the attempt. 
At Cosmic Tier you can teleport anywhere so long as you have at least some minimal 
awareness of it (a picture or description is good enough), ignore most things that would normally 
stop your teleports from working, perform large group teleports, and can create free-standing 
portals that last as long as you want them to without needing to concentrate. These portals can 
be formed independent of your location, such as creating a portal near an ally to let them go 
somewhere else, even if you don’t specifically know where they are as the description of “near 
my ally” is good enough to work. Your telefrags work on just about anything without a comparably Cosmic defense."
300CP,Time Travel,Generic Super Academy,"You are capable of traveling backwards and forwards in time. You may either personally 
time-port or you may create portals, but the other version is discounted, including Tier costs. 
Your time travel always occurs at the location you are physically at, or the nearest available safe 
place if your destination spot is uninhabitable. To combine both time and space travel, you must 
buy Teleportation as well, but in that case they count as a single power, so you only have to pay the Tier costs once. 
At Street Tier you may travel backwards and forwards a short distance in time, up to 
several days at most. You have an exact sense of your position in the timestream and a perfect 
clock in your head. You are also immunized vs. any time paradoxes that you may cause to 
yourself by careless or clumsy actions in the past. You cannot use multiple jumps to exceed your maximum range. 
At National Tier you may travel backwards and forwards longer distances in time, up to a 
century. Your immunity from time paradoxes extends to full timestream protection; you become 
immune to being retroactively un-existed and if your personal timeline is changed by either your 
actions or any others, you will remember both versions. You may make multiple jumps to go 
further back or forwards than you can reach in a single jump, but you can only do so a limited 
number of times before you start getting too deep into the timestream to navigate safely. 
At Global Tier you may travel backwards and forwards over a span of time measured in 
millennia. Pretty much the entire span of recorded history or the distant future is available to 
you. You may start to explore alternate timelines but not other dimensions. Your only limit on 
multi-jumps is now is your endurance and your patience. 
At Cosmic Tier you put the TARDIS to shame. The full reaches of time are available to 
you, all the way back to the Big Bang and forward to the heat death of the universe. You can 
reach any alt-timeline even remotely conceivable for your local multiverse. You are conceptually 
immune to temporal manipulation of any kind that you find inconvenient. You can make as many 
jumps as you want but since you can hit any-when from any-when in a single leap, you won't often need to."
300CP,Darkwing II,Invincible,"You have the ability to teleport 
through shadows. Each and every shadow that exists 
around you can be used as a portal to the 
Shadowverse, a parallel dimension that now attaches 
to every universe you visit. The Shadowverse attaches 
all shadows to each other through it in the universe, 
allowing you to gain the appearance of teleporting 
through the shadows as in reality you move to the 
Shadowverse where distance is meaningless and can 
pop out through any shadow in existence. The 
Shadowverse is a featureless black expanse inhabited by invisible Shadow 
Creatures, strong enough to kill young Viltrumites, and with some time even 
veteran Viltrumites. Normally they would attack you as well, but thanks to jump 
fiat they now ignore you. 
For an extra 400 cp, you now gain the ability to summon Shadow Creatures at 
will into reality, and they appear as pitch black moving silhouettes. After gaining 
this new power you have absolute control over all Shadow Creatures both inside 
and outside of the Shadowverse. "
300CP,Martian Man,Invincible,"You have gained the ability to shapeshift in a huge way: 
you can alter your appearance as well as mold your body into new and fantastic 
forms. You can alter the shape of your body in any way and 
into pretty much any organic substance, allowing you to do 
things like grow gills to breathe underwater or grow wings 
and alter yourself to fly. This power comes with a pocket 
dimension full of mass that you can add or subtract from in 
order to aid you in your shapeshifting. There are a few 
thousand pounds here that you can put to use or that you 
can feed any amount desired into. Any mass that gets 
destroyed from this dimension regenerates in 24 hrs. These 
shapeshifting skills allow you to change yourself into other 
matter and colours allowing you to disguise yourself as a 
vacuum cleaner or similar if you so desire.  "
300CP,Power Plex,Invincible,"​You are able to absorb energy of any 
sort and convert it into electricity at your discretion. Explosion, 
kinetic energy, really anything can be absorbed and converted 
by you. You are able to contain and control your powers so 
that you do not need any technological aid, and with some 
practice you will even be able to use these powers to fly. The 
blasts of electricity you can create, while extremely powerful, 
tend to not be effective on those with extreme durability, as a 
young Viltrumite would be able to survive you and a veteran 
would barely feel a tickle. You are weak to crushing attacks 
and your powers could potentially overload and turn off if you 
try to absorb something on the level of a nuke in a second. Your powers 
overloading does not directly deal damage to you but they turn off for a few 
minutes and ‘reboot’. "
300CP,Red  Rush,Invincible,"​You have become a 
speedster. Due to an accident when you were a 
teen you gained the ability to move and think at 
massively hypersonic speeds, on par with a 
veteran Viltrumite in an atmosphere. You 
naturally generate an aura that protects you and 
those around you from the effects of your speed, 
while also allowing you to interact with objects 
semi normally. If you punch a concrete wall at 
top speed, your hand would be bruised as if you 
punched a wall while standing still but the wall itself would exploded into shrapnel 
from the sheer kinetic energy. This general augmentation also comes with 
stamina needed to run for immense distances, and lengths of time.  "
300CP,Rex-Splode,Invincible,"​You have been enhanced and 
powered up jumper. Not only have your physical abilities 
been enhanced to just beyond peak human and into 
superhuman for every category, you have also gained the 
ability to charge up objects with explosive energy. You can 
decide how this occurs, whether you had cybernetics 
implanted in you or whether you simply have been 
augmented in a different fashion. When an object is charged 
you can throw it (or run) and then trigger it to explode at will.  The amount of 
energy that can be contained in an object is determined by its size with larger 
objects taking more time and energy to charge while also resulting in a larger 
explosion. "
300CP,Dreams of Sand,Kingdom Come,"Like Sandman, you receive prophetic visions in your sleep, and can use these visions to stop whatever
you see. These dreams will always be helpful, and you might be receiving tips from Dream himself based
on who or what is involved in these visions. He has given you his blessing (Maybe he’s bored and has
decided to help you out on your journey to while away the time). Perhaps you were a fan of Wesley
Dodd’s himself and that is what lead Morpheus himself to bless you. Your body also seems to be able to
produce sand and a natural gaseous sedative at will thanks to this blessing, unless Wes who needed to
invent guns to produce them."
300CP,Flying Brick,Kingdom Come,"You can fly and punch things, and you’re super tough. Bullets just tickle you. That’s basically a standard
package, but unlike Superman you’re not solar powered. You may also choose one power for free out of
the following choices; super speed, super senses, eye beams (Choose between x ray vision or heat
vision) or super breath (choose freeze or fire breath), hand blasts (can range between pure light, holy
blasts, magic blasts, or any other) although if you want to purchase more choices, they cost 50 CP each.
While you will never reach Kryptonian level, you do not need the sun’s rays, kryptonite only affects you it
does a normal human (Repeated exposure will make you sick but only if you keep it around on you for a
long time as it does with humans, other than that it does nothing), and magic does not bypass your
invulnerability."
300CP,Plastic Body,Kingdom Come,"Your body is truly fantastically elastic and plastic! Your bouncy body is hard to harm as a result. Able to
bounce back from most hits and your shapeshifting is second to none. Turning into a fun bouncy ball,
stretch your arms (and rear end, among other body parts) everywhere, bullets bounce off you, is there
nothing you can't do or turn into?"
300CP,Gravity,Marvel's Kid Heroes,"You can negate or increase the effects of gravity on yourself and any person or
object you’re touching. You can sort-of ﬂy with glider wings by
turning the gravity on for a few moments, just mind momentum,
or perform quite the acrobatics by managing your weight. By
increasing gravity you can pin the strongest of opponents, or
by injecting them suddenly via “posi-gee punch” send people
ﬂying. With time and practice, you can learn to affect things
without touching them."
300CP,Husk,Marvel's Kid Heroes,"You can turn your base body into
just about anything. Sand, magma, steel, diamond.  You just have
to shed your skin. And when you’re done, the skin of your new
form peels off revealing you beneath. You can dispense with
minor, surface injuries by shedding your skin, along with dirt
and sweat and so on."
300CP,Powerful,Marvel's Kid Heroes,"You’re really strong. Strong enough the best comparisons people can make are in
relation to Thor or the Hulk, though you’re not quite as
powerful as either.  Yet."
300CP,Prodigy,Marvel's Kid Heroes,"You can either copy the skills and technical or academic knowledge of
others telepathically, or learn skills from seeing them
performed. The ﬁrst requires close proximity while the latter
can work ﬁne through a TV or recording, but does not come with
knowledge, merely physical skill. You do not forget things you
learn this way any slower than you would other things you
learned."
300CP,Roulette,Marvel's Kid Heroes,"You can create discs the size of a frisbee and hurl them. White ones grant incredible
good fortune, black ones curse the target with terrible luck.
The effects only last a couple of minutes, and yes, you can smack
yourself with them."
300CP,Safety First!,Marvel's Kid Heroes,"You can project powerful forceﬁelds, about on a par with the Invisible Woman. These default to
bubble/dome shaped, but can form panes, blades, pillars, etc."
300CP,Slapstick,Marvel's Kid Heroes,"Your body has been reformed into
electroplasma, essentially a living version of the unstable
molecules Reed Richards invented for the Fantastic Four’s
costumes. You are very nearly indestructible, able to stretch or
deform almost endlessly, like an old time cartoon. You also have
a personal hammerspace. In essence, Toonforce."
300CP,Thundercat,Marvel's Kid Heroes,"You can control electricity within a fair radius around yourself,
cannot be harmed by it, can shock people and even manipulate
metal with some effort. At its fullest extent, your electric aura
forms the shape of a great cat around you, and can run, leap and
ﬁght with yourself safely ensconced inside."
300CP,Acceleration,My Hero Academia,"The Quirk user is able to temporarily accelerate both their physical
movement speed and perception up to the point that it appears most things around them
simply aren’t moving.
Although in reality this only lasts the barest fraction of a second, the Quirk user by
their perception has several seconds to do whatever they feel like doing, such as throwing
multiple hyper speed punches, disarming enemies who have them surrounded, dodging a
massive attack right at their neck and so on.
The level of heightened speed and perception is so great that there is a small
cooldown between uses where the Quirk must recharge."
300CP,Atmosphere,My Hero Academia,"The Quirk user gains incredibly powerful, high capacity, high
efficiency lungs. The complex nature of their lungs and unique attached organs allows them
to synthesize all but the most toxic, deadly gasses breathed in into perfectly safe oxygen.
Conversely, this same system can transform whatever air is inside their lungs into
numerous other gasses and aerosolized chemical cocktails.
With these things in mind, the Quirk user gains super breath that can blow people
off their feet, inhale with vacuum force, puff themselves up with helium to temporarily float,
knock enemies out with sleeping gas, submerge as long as a whale with a single breath and
more.
With all of the Quirk user’s varying abilities being tied to their lungs, they must be
facing enemies for both offense and defense. Even with the super lungs, the Quirk user is
unable to breath while submerged. Sealing the Quirk user’s mouth deprives them of most
applications."
300CP,Auto-Pilot,My Hero Academia,"The Quirk user gains a secondary intelligence within their brain that
scans the five senses of the user to the absolute extent of what is possible for them to
perceive, even if the user doesn’t understand the information like it does.
If danger is detected by this intelligence, it will temporarily take over and help the
Quirk user dodge or counter. While less than impressive in words, it offers supernatural
levels of threat and damage avoidance that may see the Quirk user walk away from a stroll
through a battlefield unscathed.
The Quirk user may shut off or suppress their autopilot if needed. The Quirk user
may synchronize with their secondary intelligence, massively enhancing their senses and
processing power for a short time. Synchronization however is extremely taxing on the mind."
300CP,Black Hole,My Hero Academia,"This power allows you to generate small black holes at the tips of your
fingers. The black holes can suck up and disintegrate any matter at the atomic level as well
as certain forms of energy such as light.
This Quirk is highly volatile and can easily be used to kill people or cause large
collateral damage if not regulated properly, or even be turned back on the user."
300CP,Blackjack,My Hero Academia,"The user of this Quirk is able to forcibly bend anything they grab up to
90 degrees without compromising its structural integrity, this can even include people.
An object or person may be bent and crumpled multiple times from different
starting points in order to shape things more intricately. The user may crack their knuckles at
any time to undo their bends and this power’s sustaining of the object’s structural integrity.
The user has one sole weakness of their about, needing to place their hands on both
sides of the object they’re attempting to bend so they can bend it."
300CP,Bottled Lightning,My Hero Academia,"The user of this Quirk is able to manipulate electricity with fine
control, pulling it from their surroundings and flowing it around them for melee range
offense and defense.
While exerting dominance over electricity, it moves relatively slowly and smoothly
around them, appearing more like glowing, rushing water than captured lightning but
maintaining its dangerous qualities and capabilities.
The user of this Quirk is unable to continue manipulating electricity more than a few
meters away from them. They can, however, attempt to release it in a general direction as
an improvised ranged attack, allowing it to retake its natural speed.
The primary limitation is simply getting the electricity together, but that’s not too
difficult as the Quirk user may siphon small amounts of electricity from their own body and
the atmosphere itself.
The dangerous part of this ability is when the user inevitably needs to release their
hoarded electricity, as it becomes dangerous and unpredictable while trying to disperse."
300CP,Canopic Jar,My Hero Academia,"The Quirk user has the ability to safely move their vital organs and
bodily systems through their body, and collect them in quick forming jars of bone and tissues,
ejecting them once finished. This leaves behind a hollow body which now moves under
telekinetic control.
The Quirk user’s body in this state is entirely redundant and moves under outside
forces, allowing them to leverage it in extremely dangerous situations without the risk of
incapacitation or death.
What would kill or cripple a normal person has no effect on the Quirk user in this
state. The only way to kill the Quirk user in this state would be the find and target their
organ jar, which need not be near.
After 24 hours without their organs, their control over their body will begin to fade.
Over the following 24 hours, preservation and control slips until the body will “drop dead.""


If the Quirk user returns and takes in their jar before that point, they will be fine,
and rapid healing will trigger to seal or repair most wounds sustained while separate. If the
Quirk user does not return, their jar will instead begin a slow process of rebuilding their
body. This leaves them highly vulnerable."
300CP,Chakra,My Hero Academia,"The Quirk user can perceive odd electromagnetic fields, seeing them as
various colored auras emanating off of all things. The greater the electromagnetic activity,
the greater the user can sense something, although even that which has no activity has a
perceptible aura.
Electronics, machinery and living creatures (due to their nervous system) all show up
well to the Quirk user, appearing even at long range and through obstructions within their
sight.
The Quirk user’s senses are so acute to subtleties in aura that they could tell
individuals apart, current stress levels, health/state of repair, and composition of objects
based on familiar materials.
Ever-present detection of auras and their consistent presence leaves other senses
less reliable, and the world a shifting rainbow. Extremely powerful electromagnetic fields
can be disorienting."
300CP,Clairvoyance,My Hero Academia,"The user of this Quirk is able to mark and hijack the senses of any
living creatures within 300 yards of the user that they can perceive.
The mental load is dispersed across the user and all connected targets, like some
kind of hive mind without direct control over or interaction those marked by this Quirk.
Using this Quirk gives the user a vast understanding of their surroundings if they’re
able to mark numerous targets, which isn’t difficult if they can perceive them in some way.
Conversely, if the user is trapped or stranded somewhere that they can in no way
perceive another living creature, their Quirk is unable to be used."
300CP,Comic,My Hero Academia,"The Quirk user has a strange power relating to language. They may choose
while vocalizing onomatopoeia to manifest giant letters with varying effects based upon the
sound they’re calling out. Words like “Blam!"" might create giant letters that crash through
an area like a wrecking ball.
Something like “Boing"" could be vocalized to make letters with elastic properties,
bouncing whatever comes into contact with them like rubber. Any language that the Quirk
user can speak is viable, though the onomatopoeia must already exist for the Quirk user to
form word blocks out of them.
Power and range of effect grows with vocal training. Likewise, this Quirk puts great
stress on the vocal cords with continuous use, and potentially lose their voice if they go too
hard, too long."
300CP,Compress,My Hero Academia,"The user of this Quirk is able to “compress"" anything in a spherical
area into a small marble without actually damaging it, with a touch.
It can be used with extreme stealth, without noise, allowing the user to entrap and
take enemies out of the fight before their allies are able to even notice.
The weight of the compressed objects is reduced considerably, making it possible to
carry them in one's pockets or even in one's mouth. The user can release a single marble by wishing it, or all of them at the same time by
snapping their fingers. It can also be used to affect the user and to avoid attacks and disengage.
The only limitations of Compress are its touch based range and the fact these
compressed marble prisons can be broken from the outside by allies of the targeted."
300CP,Creation,My Hero Academia,"This Quirk allows you to produce different objects from any exposed
part of your body. Apart from living things, you can create virtually any object.
Due to the incredible power, there are a few requirements however. To produce an
object requires knowledge of its atomic configuration ahead of time.
The Quirk user’s body breaks down fat at the molecular level, reconfiguring into the
various objects produced with this Quirk. Larger objects need more exposed skin,
necessitating light clothing."
300CP,Dark Shadow,My Hero Academia,"The user of this Quirk is born playing host to a sapient symbiote
made of dark energy that they can manifest and stretch out, or contract back into him freely.
The creature a humanoid upper body, the ability to exert physical force, speak and
stretch its body and limbs but has an energy limit that causes it to need rest every now and then.
Dark Shadow’s personality, abilities and power vary based on the emotional state of
the user and current light conditions. The stronger the host’s negative emotions and the
darker it is, the more unruly, larger and more powerful Dark Shadow becomes, potentially
possessing the user.
In its weakest state it’s still quite strong, flexible and peaceful, but can be beat in a
fight by humans with professional fighting experience. In its strongest state, it’s a berserker
that can carve through swaths of fully grown trees with single swipes of its giant arms.
Dark Shadow, in addition to previously mentioned drawbacks like weakening while
submersed in light, becoming harder to control in the dark and having energy limitations, is
weak to light generating attacks such as electrical or fire types."
300CP,Daw Mour,My Hero Academia,"The one with this Quirk is gifted with a long, prehensile tongue, no
bones in their arms and numerous small, complex mouths scattered across their tongue and
arms.
The small mouths have specialized hinges attached to the jaws and teeth, creating
an unfolding/launching/grabbing action when they bite with a maximum distance of a full
foot away.
These mouths can take repeated quick bites out of even tempered steel and stone
faster than most can see. The user’s arms are hyper muscular and attached to their digestive
system, flexible like a pair of tentacles. Fully functional despite lacking a rigid support
structure.
The user can quickly get full if they overeat with their various shredding, scraping
mouths, needing either careful use or regurgitation when they get full. Otherwise they can
digest most materials harmlessly."
