0,,Free,Name,Jumpdoc,Chapter,Description
708,,400,Mystic Dojo,Marvel Cinematic Universe - Volume 2,Domain,"For the Masters of the Mystic Arts, the grounds of Kamar-Taj is their sanctuary, their fortress, and their school all in one. It is a place where they can open their mind, and truly ascend to new heights in awareness as they explore Creation itself. Alas... even they knew not to focus everything in one place, and it is with that in mind that I offer you this. Whether you wish to place this in a mountain range so that it is hidden away from the eyes of most, or have it as a Warehouse attachment, this ancient site contains everything one needs to build an order. Rooms for monks to stay in, a great library to fill with many books, a courtyard to practice, an armory for magical items you may possess, and even a storage unit that supplies as much mundane food, water, and tea to sate those who follow the Mystic Arts. Even better, those who practice here will find their minds opening more quickly than usual, having an accelerated effect that will leave training of the body and mystical practices half again as effective. ...oh, and there’s a wifi router installed."
709,,400,Prison of Hell,Marvel Cinematic Universe - Volume 2,Domain,"There is a place beyond this world. A place without light, or warmth, or hope. It is a place that feeds upon any living thing that approaches it, that even a mighty Spirit of Vengeance would never wish to roam that eternal darkness. Yet, now you have found yourself with a piece of it, for power has its price. When enemies have been slain personally by you with fiery or infernal might, you may choose to have some part of them sucked into this place to be tormented and left in pain. It is this pain that will fuel you, granting a very small amount of energy to fuel those powers. While you can never remove anyone from this place, it is always hungry for more... and the greater the pain, the more it shall help you. After all, if there’s no pain then there’s no gain."
710,,400,Slice of Heaven ,Marvel Cinematic Universe - Volume 2,Domain,"There are places that no mortal city can possibly compare to, in both beauty and importance. After all, what is a city of man compared to a City of Paradise? While Heaven is far more grand than Earth, that doesn’t mean the two have to be split apart in its entirety. Purchasing this option allows you to place the entrance to this location either in a remote mountain range as a property, or in the Warehouse as an attachment... and to make a long story short, it grants a section of the city of K’un L’un for your disposal. Fountains with water as clear as crystal, unnaturally beautiful flowers with nectar more nutritious and tasty than regular food... and a monastery which hastens the progress and gains from training one’s body and Chi abilities, or spiritual abilities as well. There’s even multiple rooms and storage rooms so you can create a whole Order if you wish it."
711,,400,Demonic Door        ,Ghost Rider,Domain,"By exerting a large amount of energy you’re capable of moving between dimensions; when doing so, your arrival will be heralded by stormy weather. You’re also capable of teleporting large distances; however doing so drains you slightly, and while it is instantaneous spamming it multiple times will drain you quickly. You can’t take people or other things with you, only what’s immediately on your person."
712,,400,Cave of Shao the Undying,Marvel Primal,Domain,"A cave with an endlessly respawning dragon, giving the opportunity for the worthy to earn the Fist of Iron perk."
713,,400,Stormcaller,Marvel Primal,Domain,"The second magic, Arcanum Eco, takes energy from the natural forces and elements to shape the same. You can command fire, divert rushing rivers, summon or scatter storms and call down the lightning. Your skills in elemental magic are peerless in scope and reach, speed and versatility. Men have been worshiped as gods with far less cause."
714,,400,Lighthouse ,X-Men the Claremont Years,Domain,"You gain a copy of the Braddock Lighthouse. While the original is a part of an omniversal network intended to collect energy on a scale to maintain an omniversal kingdom of magic and fantasy, as well as summon the Phoenix Force, yours is unconnected to this network. On the bright side if the network is destroyed by an angry elemental this won’t destroy your lighthouse, and Otherworld is not harvesting the energy from it, on the down side it merely absorbs the energy of the exotic particles formed by a single weak spot in reality providing a nice little source of magical power for you or any who needs it. With proper know how you could probably convert this magical power into electricity as well.

And the weak spot in reality will come with the lighthouse. In this and future jumps it is a magnet for interdimensional anomalies, entities and objects from other realities falling into place through the hole in existence which feeds its power. In this jump this will mostly be entities from other timelines and Earths, but in future jumps might include other forms of alternate dimensions. And while most of these holes are canonically in Britain - only the island having a sufficient concentration to draw power from - your lighthouse can be anywhere you choose, not even on Earth. I hear the Blue Area of the Moon is nice this decade."
715,,400,Cloak of Levitation,Ultimate Marvel,Domain,"A cloak that allows its wearer to fly at subsonic speeds for indeterminate lengths of time and responds to the user’s thoughts. It can be used as a ""third set of hands"" to attack a foe when the user’s body has been incapacitated. The Cloak of Levitation is nearly indestructible and fairly powerful. The cloak is capable of independent action."
716,,400,Darkforce Conduit ,Ultimate Marvel,Domain,"You have a connection to the semi-mystical dimension of pure darkness known as the Darkforce. You can generate a portal to this dimension in a cloak you wear, allowing you to drag objects and organisms into your dimension where they can be drained of light and released back stunned or teleport yourself across vast distances. You could also generate this power as blasts or shapes if you wish."
717,,400,Shadow Realm,Thor: Love and Thunder,Domain,"This is your villainous lair. The Shadow Realm. This is not the Shadow Realm that Gorr now calls home, but an entirely different planet hidden away in the deep reaches of space. It is inhabited by hordes of Shadow Monsters, which are all subservient to you and will respawn in a week if killed. By entering a shadow, you may travel through to any other place in the universe where darkness exists. In addition to this, you can automatically teleport here when you please, and you are twice as powerful as normal when in your realm."
718,,400,Aegir ,Thor: Love and Thunder,Domain,"A boat named after the Norse god of the seas. This one’s even better than the original. This viking skiff is capable of utilizing the bifrost to fly, sans goats or axe. The ship itself is incredibly sturdy and can take hits from the gods without a scratch. It can carry around fifty people on its deck, and has a cabin. You can somehow breathe and survive in deep space without dying. It’s also quite seaworthy."
719,,400,Swamp Asgard,Pet Avengers,Domain,"This region, roughly the expected territorial range of a member of your Species for this jump outside of migration, is yours. All other animals within this area recognize you as its lord and ruler, who should be respected and deferred to within it. Only the particularly foolish or boorish will not do so. In addition animals native to this region develop human-like intelligence and societal complexity. They may even spontaneously start using each other to help in farming."
720,,400,Astral Ship,Pet Avengers,Domain,"The Flock, Lockheed’s species of telepathic dragons, travel through space in ships that sail not in physical space or hyperspace but the astral plane. Now you have a ship, large enough for your Species, belonging to that race, and with a crew of such creatures loyal to you. They retain their short attention spans, and general somewhat ineptitude, but they are loyal and will man the ship through the astral plane or into physical reality for you if requested. In other jumps this ship is capable of traversing other psychic and immaterial dimensions, protected from the basic environmental hazards of such travel."
721,,400,Weather Manipulation,Marvel Midnight Suns,Domain,You are a God or Goddess of the weather in a similar mutation to Ororo Munroe. Just like Storm you have a form of atmokinesis that affects the weather. While you can create any weather condition like rain or cyclones you have such precision with your power that you can sense atmospheric changes and summon impossible events like acid rain.
722,,400,Forgotten Tomb,Moon Knight,Domain,"This Tomb is a nigh perfect replica of the one Alexander the Great was buried in. For you it is as easy to enter as a Museum down the street but for anyone else? It will be impossible to find, as is anything or anyone inside. Aside from that, you may let there be the Corpse of one person that has died in the past of your current Jump lie in this Tomb. With them will be one Item that was important to them, be it a Weapon or something different. Now whatever could you use this for?"
723,,400,Pub at the End of the Universe,Marvel: What If...?,Domain,"There’s no finer place to grab a drink with some friends. This lovely establishment sits on the cusp of reality, surrounded by a hungry void of destruction. Despite that, you’ll find a cozy interior, fabulous food, and mastercrafted refreshments inside. You and anyone you designate receives the incantation to summon the pub’s entrance. They may visit this pub at any time, whether everyone resides in a single timeline or are scattered across the multiverse. When your visit is done, each customer can exit the pub and return to their local dimension. Catch up with your friends over a pint, no matter how far away they choose to hang their hat."
724,,400,Orbital Island ,Heroes Reborn,Domain,"This small hunk of stone, about the size of a large room, orbits around the Earth. It provides a breathable atmosphere around its surface, though getting to and from the island to the Earth will be on you. The island possesses wards against technological and sorcerous discovery, making both less reliable than they should be, and these wards extend to you when you are acting from it. Meanwhile it seems to work to enhance your own divinatory magic, as well as any sensors or special senses you possess. There is even a tree growing on it whose fruit serves as excellent divinatory foci."
725,,400,Wundagore Mountain         ,Dr Strange Multiverse of Madness,Domain,"Mount Wundagore, is an ancestral mountain surrounded by dark magic and witchcraft. Atop of this mountain is the stronghold known as Darkhold Castle. Within the castle are the original carvings of the Darkhold made by Chthon and the demonic army he left behind. This castle acts as a nexus enhancing rituals and other magics cast within. You will initially receive four Demonic Warriors, but you may create more within the castle."
726,,400,Kamar-Taj,Dr Strange Multiverse of Madness,Domain,Kamar-Taj is one of the main strongholds possessed by the sorcerers and their forces. This sanctum will come fully staffed with a few hundred students of the mystical arts and a few dozen masters in charge of teaching them. This area is capable of using the magic of its inhabitants to defend the area. It was capable of stopping the Scarlet Witch using her full power for a few minutes. This is much more impressive than it sounds. Secondly it will prevent any inhabitants from being influenced by beings outside. For example Wanda used a mental attack on one of the students to break the defenses. This would stop that from happening as she would be unable to breach the defenses.
727,,400,Dreamwalking,Dr Strange Multiverse of Madness,Domain,"Dreamwalking is a spell contained with the Darkhold. It allows the user to travel to another universe by possessing your counterpart there. This however can have cataclysmic effects since it tears the boundaries between the universes apart. This perk grants you two options. First, you can possess your counterpart and there will be no damage to the boundaries of the universe. Alternatively you could instead create an avatar in a different universe. Your main body will remain, but you will gain a new body activity linked to you in the other universe. To clarify both options do not cause any damage, though you may disable this protection and intentionally cause incursions. Lastly you receive both options by purchasing this. You only need to buy this once."
728,,400,Transport Discs,Avengers Vs X-Men,Domain,"Nowhere is ever very far from you, including nowhere itself. You have the ability to create special Stepping Discs, which can take you and others on those discs across space and time, travelling between galaxies, dimensions or even to the future or past in an instant. It is difficult to control time travel exactly however and without much practice, your abilities will often be inaccurate. Your discs can be made quite massive if need be and used as a form of defense, teleporting away attacks that hit them if you prepare in time. You must have some visualization of where you want to go, even if only having seen it in a picture or video."
729,,400,Asgardian Chariot,Avengers Earth's Mightiest Heroes,Domain,"A resplendent Asgardian chariot, pulled by two mighty Asgardian goats. Capable of flying through space at high speeds. The goats, while intelligent enough to follow commands, do not count as Companions. They do respawn, however."
730,,400,Family Lands,Fate/Zero,Domain,"Your family staked a claim on an immense stretch of land long ago and they’ve retained it ever since, with the title now falling into your hands. Large enough to fit all of Tokyo within its borders, these lands are largely uninhabited by any other human, though it is likely brimming with flora and fauna in excellent condition. Located in any reasonable location of your choice and in any terrain or climate you desire, these lands are legally yours no matter what government or organisation you are dealing with. Furthermore, there are certain amounts of protections to be found here. A number of magical wards have been set up to alert you to the presence of any intruders upon your lands and a few hundred combat familiars of varying types also patrol the lands and will attack any unauthorised entrants.This can be imported into. "
731,,400,Abandoned Island,Fate/Zero,Domain,"Far out at sea, at least a few hours boat ride from the nearest known landmass, is an island not on any maps or records. This island was perhaps the site of some terrible event that caused it to be erased from all official records. Big enough for a small jungle and village of around 300 small families to be on it, only animals and yourself live on it now. Unless your actions cause it, no one will discover this island or be able to find you on it. Lastly, a lone mansion rests at the heart of the island, equipped with a fairly complete Magi Workshop personalised for whatever art you choose to specialise in. This can be imported into. "
732,,400,My Home is my Castle,Fate/Zero,Domain,"Every wizard has their towers. And a tower is nothing without proper fortifications. When it comes to shields, wards, forts, walls or any other sort of purely defensive magic, you’re the best around. Your spells are stronger, cheaper, faster to cast and best of all, they stick around quite a lot longer than they normally would. But stationary fortifications are where you truly come into your own. As long as the spells do not move from their position, such as by being cast on a person or item, but instead on a castle or home, all the previous effects will be far greater in nature. Simple shield spells will deflect high powered rifles with ease, you’ll be able to cast tens where you could only cast a half dozen, incantations would take a fraction of the time and your work would almost last till it was destroyed in combat, at the very least surviving dozens of times longer than normal."
733,,400,The Second Academy City ,Toaruverse,Domain,"If you can’t find the ideal city for you then build one that fits your image. For all intents and purposes you receive an identical copy of the Academy City and the city itself is an autonomous city where you have the highest level of authority and every one acknowledges you as the General Superintendent. Unlike the original one its security and defense are airtight that it would need even the most skilled infiltrator to go through the front gates and follow the procedures to enter along with a surveillance system that leaves no blindspot. It has a population of three million at minimum with eighty percent are students and seven level five Espers at your call though the population and Espers would stay behind when you leave unless you take them with you but you gain new ones every jump. The city follows you in every jump and inserts itself naturally near your starting location along its technology, always thirty years more advanced than even the most advanced technology or country of the world. Pick a country other than Japan for your city to be built on."
734,,400,Forest God,Ragna Crimson,Domain,"The power to become the apex predator, taking traits of animals into yourself, such as camouflage or large dented mouths, as well as manipulating plant life, turning trees into magical monsters capable of using their roots as powerful and fast tentacles capable of easily crushing humans, as well as quickly moving around. These trees count as creatures of magic, and thus they will be damaged by the silver aura, although they aren’t harmed by the sun. And obviously, these trees are under your control and you can telepathically order them, even delegating the command for them to others. At the base level, this would only allow control of a few dozens of trees.

At the level of a Seija, the user would be able to dominate and move an entire forest, even partly fusing with it to create trees several dozen meters in diameter and tens of meters in height."
735,,400,Lord of the Labyrinth,Ragna Crimson,Domain,"By spending your magical energy, you may create underground labyrinthian complexes of rock and stone. For a regular Seija, these may eventually extend to be of the size of a country and kilometers deep. You may also fill these Labyrinths with traps of all kinds.

The user is aware of what is happening in one of their labyrinths as long as they are attuned to it, as well as being able to track those inside of it. You gain an ability for multitasking similar to the Warmaster magic."
736,,400,Mercurial Scimitar ,League of Legends,Domain,"This wicked scimitar is made of a curious, flowing metal that swirls around within the blade. Once every few minutes, the wielder of the scimitar can invoke its power, allowing them to slip any bonds, shrug off any effects that slow or incapacitate them, and granting them a burst of speed with which to destroy any foes who think they've caught the wielder off-guard."
737,,400,Airship,Arcane,Domain,"Now this is how to travel in style! One of the latest vessels out of the sky-docks of Piltover, and it can all be yours for the low, low price of... Huh, you seem to have a deed already. Well, let me walk you through all the features you can expect from your new airship! Held aloft by a gasbag shielded with hextech from any explosive mishaps, this baby can travel at a staggering forty miles an hour (more with a good headwind). The gondola has space for as much cargo as a caravel, as well as luxurious living quarters for you and up to eight companions (or more if you’re willing to bunk together. The hull is armoured well enough to resist small-arms fire with ease, and if you want you could probably mount some weapons on the sides. 

Oh, and in case you don’t know how to pilot, there’s a manual on the bridge which you can pick up to learn all you need in a day or two!"
738,,400,Meld with the Earth,Super Dragon Sword,Domain,"You may expend a significant portion of mana to become part of the local terrain. You get a benefit based on the local terrain, gaining a bonus to one of your statistics based on its entry in the Terrain section of the Notes."
739,,400,Wizard’s Domain,Ben 10,Domain,"Having seen the writing on the wall or having stolen from someone who did, you have managed to isolate a small pocket of Ledgerdomain and constructed a defensible lair within it. This is a comfortable mansion with plenty of amenities, books on simple and advanced spells from this world, and conveniently generates any spell components you happen to need for your many spells and rituals. In addition, being in an isolated dimension made of magic greatly empowers your own spellcasting and makes it both easier to cast and just a bit more powerful. You may enter and leave this little pocket plane simply by thinking about it, a portal entering or leaving it appearing nearby."
740,,400,Save scumming,Generic Dungeon Crawler,Domain,"Once per jump you may turn back time, anywhere up to a maximum of 24 hours, returning you to whatever location and condition you were in at that moment. This ability will activate automatically to save you upon dying, but Jump-chan has set a condition, when this ability is triggered, consciously or by your death, you will lose all memories and records of the intervening period. You will only know that the ability was activated, and the time in the 'future' that you did so. "
741,,400,Mountaintop Monastery,Dracula Untold,Domain,"A distant, little-known monastery of your very own. While NPC cleaners and staff take care of it for you, the monks who used to live here found it too boring and left. 

It’s absolutely remote and hard to reach, but it has its own advantages. Firstly, while here you find yourself is absolute peace of mind, no matter what surprises or shocks may spring up. All your troubles fall off outside it’s walls, and your mind enjoys utter serenity and calmness.

Furthermore, any form of learning you may be engaging in that requires a calm mind and quiet contemplation over things is boosted massively, proceeding about four times as fast as it normally would. Your mind is clear, open and ready, and you work proportionately better all around."
742,,400,Castle Dracula,Dracula Untold,Domain,"Your very own castle! This is a huge castle in the European style, with mighty bulwarks, tall and thick walls and a host of other fortifications. It’s protected exquisitely well, and really, really durable. The inside has huge, luxurious rooms, banquet halls, and everything a medieval prince may need or want. It generates NPC servants to fulfil whatever roles need to be filled, though you can dismiss them if you have your own. The best thing about this castle is that not only is it protected, it also adapts and grows according to whatever settings you take it to, always remaining just as hard to penetrate or destroy, if not harder. That is, it never adapts downwards, always growing greater. Of course, it retains any upgrades you make to it."
743,,400,Creepy Mountain,Dracula Untold,Domain,"You’re the proud master of a cave home on a really, really creepy mountain. It’s a good place if you want to be left alone, as only the most daring will be willing to climb it. At which point they should encounter real horror. Because see, the thing about this place is that while you’re in it, all your powers are enhanced to a massive degree. Your strength, speed, magical powers… all are increased by over an order of magnitude, while you remain on this mountain."
744,,400,Workshop and Library,Dresden Files,Domain,"Much like Batman, Wizards are all about the Prep time. With sufficient time, knowledge and resources, Wizards can do just about anything. And while this item isn’t an unlimited quantity of all of those, it comes close. First of all, you receive a full copy of the White Council Archives and Library, including several personal Journals, spellbooks and knowledge stores of some of the greatest, most powerful Wizards there have ever been. While this might not have the exact steps used by Merlin to create Demonreach, it has a fair few of them. But more than that, it has vast details of just about any kind of magic you can think of. Warding, Evocation, tracking… to the entire collection of the Word, Mouth and Heart of Kemmler, books like Die Lied der Erlking, and so much more that most wizards would kill to have. More than just that, you also get a Workshop to match. In terms of apparatus, reagents, setups and all the rest, if this magical workshop isn’t the best in the world, it has to be among the top five. It’s a rare potion or item that you can’t at least make a shoddy version of from what’s here. That’s just in terms of generic items, mind you. This place doesn’t have any ‘specific’ reagents like stones from various corners of Chicago for you to make Little Chicago, but it has just about everything else you need."
745,,400,Warded Home ,Dresden Files,Domain,"You are the proud owner of a magnificent new address of your own! Either a gigantic mansion in the countryside or an unbelievable penthouse apartment in the city, this is a place with every comfort known to man, and several that aren’t. But more than just the obscene luxury of this place, what truly makes it valuable is the sheer quantity of magic put into it. To begin with, a deal with the Svartalves means that this is full of technology that has absolutely no problem with magic of any kind. Seriously, the Senior Council could drain themselves dry casting Hexus around here and none of the devices would even notice. But beyond that, anchored onto a Carpenter-grade threshold are wards that would make the White Council’s HQ at Edinburgh seem lacking. Seriously, this place is protected."
746,,400,Walls Containing Madness,Dark Souls 2,Domain,"“This appears as a small castle with architecture of your choosing. The entirety of this structure’s rooms and corridors appears dedicated to the pursuit of knowledge. Scientific work stations with various tools and instruments appear in most rooms, chains from which to hang cages and other things hang from the ceiling, and the basement contains all manner of chests and cells where the scavenged and unwilling are stored. Samples from captured and dissected creatures, among other beings, will be stocked within the basement, and replicated into the future for as many experiments as required. You must of course secure such valuable organs and parts yourself the first time, however.”"
747,,400,In One’s Likeness,Dark Souls 2,Domain,"“In one’s likeness being forged and placed as ornamentation, a sense of belonging is also established. Could it be a home that you desire, or simply territory? A statue, a painting, or some other great work of art depicting you as you’d like to be depicted is bestowed upon you. Your choice entirely what that work is, but be sure it’s quite impressive. When placed however, it acts as a conduit, allowing your dark powers to creep into the surrounding environment whether it be a sturdy fort or a dense forest. As that darkness spreads, it twists it into one where you belong, imparting upon it traits reflective of your own, along those reflective of the darkness that makes up your being.”"
748,,400,Crest of a Fearful Lord ,Dark Souls 2,Domain,"“A curious object, it appears as a simple, metal badge in the shape of a crest of your chosen design, or bearing the design of your chosen crest on its face. When attached to a door, your crest is transferred to the door, and no force in the lands would be able to break their way past by normal brute force and mundane measures. The only ways in after you’ve applied your crest are by some specified key or means that exist within the world, the key or means being of your choosing. You receive another crest once per month, each having the full ability to reject invaders.”"
749,,400,Den of the Beast,Dark Souls 2,Domain,"“A strange location variable in structure, appearance and location. Whatever your natural assets as a beast may be, this place will accommodate for them, and will be surrounded by friendly forces that inhibit any trying to invade it. If you have great claws and the ability to climb, it may include numerous trees. If your form is especially adept at digging, the ground may be composed of sand. If you have wings and need room to stretch, it might even be placed atop of a large hill or mountain peak. Whatever the case may be, you can somewhat order the beasts, monsters or otherwise surrounding your den like a boss with its subordinates. I guess you could even call your domain the Boss’s Chamber.”"
750,,400,Red Wedding Bell ,Dark Souls 2,Domain,"“A great bell hosted within a great bell tower that is now your property and yours alone. You may choose to place this tower at a location of your choice once per Jump, or attach it to another of your properties as an extension of them. It’s important to clarify that this may be part of another structure, as the bell has strange properties when rang. Angry spirits or invaders from other worlds will appear all around the property to protect the area from those who hold hostile intent towards you, it or those inside. When the invaders and those carrying malicious intent are dealt with, so too will the phantoms return to their rest, or their own worlds.”"
751,,400,Victor’s Stone,Dark Souls 2,Domain,"“A bizarre monolith framed by gnarled wood. The language engraved upon its surface has no record wherever you might look, lost to time. What possible purpose does it serve? For those who desire greater obstacles to overcome, with conversely greater rewards in the process, this stone may be fed souls and objects of great worth or power. This process of feeding the stone, can also be seen as feeding the world. The stone disperses what was given to it, causing the world around it to become stronger, scaling up conversely to your offerings. In the process, materials become sturdier, enemies become stronger, souls become more potent and more. The results of such foolishness are unpredictable, and yet if one craves unpredictability and challenge, then drop to your knees and pray to this enigmatic boon.”"
752,,400,Distant Kingdom,Dark Souls 2,Domain,"“Looking for the Iron Kingdom? Simply head to Harvest Valley, ascend Earthen Peak, and then take the elevator at the top up, bam, there you are. Doesn’t make sense? Well space works strangely in these lands, and fortunately for you it works in your favor. You have the bizarre power to bend space on a large scale. Corridors that don’t make sense with their width and length for the structure, towers that don’t appear unless looked upon from certain angles or distances, and paths that make a journey far shorter than they appear become possible. This power is somewhat difficult in usage. You will not be able to bend space at a whim to distort a battlefield, but when leveraged over time you’re capable of grand and bizarre feats that can work in your kingdom’s favor like those outlined above.”"
753,,400,Speakeasy,Fantastic Beasts & Where to Find Them,Domain,"A poster that when put on a wall and told a password (or when approached by people fitting a dresscode) of your choice grants access to a speakeasy owned by you and staffed by House Elves with strong New York accents. Attracts friendly if unsavoury types, makes a good profit and has an endless amount of booze."
754,,400,Apparition Ace,Fantastic Beasts & Where to Find Them,Domain,"You can apparate extremely quickly and efficiently allowing you to flit from one place to another as easy as breathing. As one of the world’s foremost apparators you can also apparate far further than normal wizards are able, capable of crossing countries, seas and even continents with barely more effort than usual."
755,,400,Conqueror's Galleon ,MtG - Ixalan,Domain,"This is too big to be called a ship. It’s more like a fortress with a sail on it. This Galleon may not be able to ride the Great Rivers easily, but on the open ocean, it is a force to be reckoned with - it has more guns along a single broadside than the majority of the Coalition’s has on two of their normal ships, and the raw hull integrity to match, using necrotic deadwood in its construction that matches stone in its density and durability. This ship and the crew and supplies needed to make it run are yours to command. "
756,,400,Conqueror's Foothold ,MtG - Ixalan,Domain,"A stonework fortress off the coast of Ixalan, this settlement is barricaded and set up on a trade route back to Torrezon - you could make a fortune taxing the route, and if you were in need of any of the goods being funnelled back, your status as the commander and governor could easily let you get away with a bit of civil forfeiture. In addition, the land of this foothold is charged with a useful amount of magical energy, allowing it to be tapped into by a clever mage. "
757,,400,Lost Vale,MtG - Ixalan,Domain,"Deep in Ixalan, there are places that have been untouched by thinking minds. This is one of them, this valley is pristine in its natural beauty and filled with both flora and fauna that are good for sustenance, as well as a clean wellspring of water. This uniquely isolated natural land is difficult to find both by mundane and magical means, the mists of the vale scattering and diffusing magical scrying. Finally, the primal and untouched nature of this land allows you to tap mana comparable to at a sizable amount of land, as if you had an entire duchy’s worth of land to access in terms of mana production."
758,,400,Wind Strider ,MtG - Ixalan,Domain,"Currents are currents, sea or sky. you're able to whip up the wind to carry you through the sky, and sending out buffeting gales and walls of winds."
759,,400,Monument ,MtG - Amonkhet,Domain,A temple dedicated to you with an ambient and appropriate but minor magical effect that also makes spells of one of the five colors of magic cheaper to perform.
760,,400,Planar Bridge ,MtG - Amonkhet,Domain,"A copy of the very same device that Nicol Bolas requires for his scheme, this object allows for the transportation of nonliving matter throughout the local multiverse. May result in some odd consequences for the local mystical environment."
761,,400,Dwarven Mine,MtG - Throne of Eldraine,Domain,"Dwarves value a good, thick vein of rich minerals - and they’d certainly give a low whistle of appreciation to come across this cavern that follows you from world to world, rich with rubies and already prepared with a number of forges and facilities to work the metal and gems you find in this cave! The mine itself goes on for miles, and possesses both precious metals and base metals useful for smithing."
762,,400,Witch’s Cottage,MtG - Throne of Eldraine,Domain,"Witches require...odd materials for their potion work. Festering Newt, bubbling cauldrons, all manner of herbs, poultices...well, this cottage has what you need. The only ingredients for the spellcraft necessary for “Witch’s Vengeance” you would need to hunt down are the ones that require two legged materials - fresh children’s bones is a popular one, for some reason..."
763,,400,Hushbringer,MtG - Throne of Eldraine,Domain,"Those who make it a point to wander the woods best respect their manners and be sure to say please - otherwise fae folk like you may simply teach them silence the hard way. You are capable of spreading a field of ‘silence’ around you, quieting the light of the soul, of magic, and even simple sound. While magic and abilities far, far beyond your reach may break the silence, even against worthy foes you can expect for their incantations simply to vanish into a loud silence."
764,,400,Tournament Grounds,MtG - Throne of Eldraine,Domain,"The Burning Yard of Embereth this is not, but only by lacking an Irencrag. This field is equipped with all manner of tents, facilities, stables, armories and is large enough to not only train more than a hundred knights, but also allow them to hold ritualistic combat sports to prove their prowess and training, and is now your property, following from world to world alongside you. "
765,,400,Mystic Sanctuary,MtG - Throne of Eldraine,Domain,"Loremages and wizards in Eldraine find that the waters of the Loch and its isles give an odd sense of focus - a lake with the same focus-intensifying properties now awaits you in every world from here on, providing a place of calm and magical power, allowing you to easily research new spells or recuperate your magical abilities."
766,,400,Lavaclaw Reaches,MtG - Zendikar,Domain,"A desolate location, where a volcano leveled by the Roil continues to bubble up to the surface, leaving pools of lava boiling up from the ground, toxic fumes, and inhospitable heat. It is, however, quite rich in resources if you can brave the land, and by infusing a Red and a Black mana you can call up a magma elemental. Infusing further Red mana into the elemental will increase its body temperature - hot as lava as a starting point and escalating from there, though it will cool rapidly, with the mana used to heat it expended at an astonishing rate. Still, a large enough infusion could set the air itself alight. Surprisingly vain for the embodiment of what many consider a hellscape, the elemental considers fire and lava the height of beauty and will do all in its power to spread them. 

Produces 1 red or black mana."
767,,400,Stirring Wildwood,MtG - Zendikar,Domain,"A particularly scenic forest on the edge of some grasslands, abundant with flowering trees, herbivorous wildlife and plenty of food. Still, like everything else upon the plane, even this idyllic place can defend itself - by infusing it with two Green and two White mana, you can call upon the trees themselves, forming into a towering elemental that could pluck birds from the sky. Though it is both slow and fragile for something of its size, it is nonetheless a good ally. Along with this, unlike the other elementals found here it is happier to commune with life, making for a lifelong friend should you wish to pursue such friendship. 

Produces 1 white or green mana."
768,,400,Creeping Tar Pit,MtG - Zendikar,Domain,"A rather unpleasant bog, made worse by the deep pits of cloying tar which are near impossible to differentiate from the ever-present black mud. What does live here is either an insect seemingly placed on this world purely to irritate travelers, or a dangerously well-adapted predator of some sort. Those bonded to this land may expend one Blue and one Black mana to call up an elemental as hungry and unforgiving as the land. This tar elemental is summoned into being below the ground, where it will slowly transform its surroundings to tar before lurching upwards from beneath the earth to engulf its unfortunate prey, or if given enough time sink the foundations of structures. The elemental itself is hungry, cunning and selfish, though if you do manage to gain its allegiance through years of steady companionship or frequent feeding, it may turn that cunning to further your goals considerably. 

Produces one blue or black mana"
769,,400,Raging Ravine,MtG - Zendikar,Domain,"A deep, rocky ravine filled with loose stone and sparse vegetation. The cliffside seems almost alive, the heat haze giving the illusion of the rocks breathing in the midday sun. Infusing two Red and two Green mana will cause the land itself to shake very briefly, then the loose rocks that the adorn the cliff will begin their descent; tumbling and falling and taking the form of a great crashing beast before it is sent to you, no matter where you might summon it from. This landslide elemental retains its nature, picking up stone and debris as it charges ever-foreword, growing larger and more formidable as time goes on. Much like a landslide, however, once it halts it is over; the elemental must remain moving to sustain itself, and anything that manages to stop its charge will disperse it. The elemental found here is particularly bestial, like a slightly mad hound, and surprisingly playful - at least that’s the feel you get from the bond. 

Produces one red or green mana."
770,,400,Celestial Colonnade,MtG - Zendikar,Domain,"A truly splendid sight, whether the result of nature or a long-gone civilization, these sandstone pillars run along the sides of a beautiful river of clear water. On infusing the stones with two Blue and two White mana, the pillars will disassemble into stone blocks and then reconfigure into a building-sized golem of stone that floats over the ground, acting as a sentry. The golem can be deployed at the discretion of the one connected to the land to defend any location autonomously, until it is either destroyed or they banish it back to its origin. The elemental itself is rather aloof, so it may require a strong hand to guide. 

Produces one blue or white mana"
771,,400,Shifting Trees,MtG - Zendikar,Domain,"All places on Zendikar are prone to change, but this place is particularly treacherous; more bog than forest in many ways. It is seemingly unable to remain in one place for long enough to cross it from one side to the other and back without getting lost, and is filled with bugs twice the size of men and ravenous for flesh. Others can, and will, get lost in this place, though you will find yourself able to navigate it with the only as much difficulty as any other part of Zendikar: perfect if you wish to get lost and not have others find you. 

Produces one Black or Green mana."
772,,400,Temple To A Lost Age,MtG - Zendikar,Domain,"An old merfolk temple to the gods Kosi, Ema and Ula, representing the land, sea and sky. While the true forms of the Eldrazi are known to all in recent days, their legend was once distorted almost beyond recognition, only glimmers of truth remaining. This seems to have bled through to the temple, and false worship runs deep. Should you gather the faithful here to tell tales of gods, spirits and greater beings under the pink coral wings of Ema, your words shall be taken as truth and over time you may distort the legends of a people, changing the idols in the minds of the masses. 

Produces one White or Black mana."
