0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,90
81,,600,Six Hearted Revolver,Fate/Strange Fake,"While Dead Apostles have achieved a form of immortality, theirs is not a perfected form of immortality. As such, there are several among their kind that also strive to find another way to safeguard and prolong their lives beyond this. One of such crafty bloodsuckers is Dorothea, also known as Jester Karture, a descendant of the lineage of the Dead Apostle Ancestor Van-Fem. And now, both his special immortality and the knowledge of its creation are yours.

This technique allows one to conceal their true spirit origin, their soul, under a multitude of spells and six artificial spiritual origins. Thus, when you would have been truly killed after bypassing any other defenses that you may have, instead of experiencing true death, you just suffer the destruction of one of your artificial cores, before getting up again.

But this is not the end of said benefits. You can switch between Spirit Cores in a short time with a simple gesture, as long as you are not incapacitated in some way, and each of them can have different properties that will get added on top of your other existing abilities. A Spirit Core based on a magus would grant you the ability to use magecraft, while that based on a regular child would make you appear to be as a regular human with no special traits even if in other forms your magical energy would be enough to make even non-magecraft users get dizzy. Once one is destroyed, or if you wish to do so, you may procure new Spirit Origins to craft your Spirit Cores, each granting you a new face, form and powers. Usually this involves taking it from a victim by force after incapacitating them, or getting them to consent, which may not even be limited to taking the spiritual core of a human but a phantasmal beast or an even an artificial construct may also be valid choices. It should also be noted that the ritual requires the consent of the victim when the form is that of a child.

The cores usually manifest in form of a tattoo-like mark, reminiscent of a revolver’s chamber. But you may have it manifest in some other way",,,
82,,600,Heretical Achievement,Witch on the Holy Night,"Your expertise with magically modifying the body and soul is matched only by the elder Aozaki sister in this town-a heretical mage who aspired to recreate the original human body as her path to the Root. Even powerful spirits and legendary heroes could have their spiritual structure improved and their powers or artifacts enhanced by your tampering. More importantly, somehow you’ve used it to create a truly impressive form of immortality even by the standards of this world-one that almost approaches a True Magic. Even at Touko’s precocious age, she has made puppets so realistic that even if her body was burnt to ash and her soul destroyed, the puppet’s similarity to her would be so exact reality itself would retroactively register it as the true “her” and consider the previous Touko to have been the fake. As if her craft created a sort of quantum superposition for her existence. Last but not least, these skills of yours are potentially transferable to other supernatural powers, letting you develop other forms of simulacrum-based immortality-some of which may even be transferable to others. How do they work for means other than puppeteering? Isn’t the joy of discovery half the fun?",,,
83,,600,NPC/Servant Creation,Grand Foreigner,"Hey buddy! Remember what Ainz Ooal Gown did with their Guild Base? They filled it with their custom NPCs! Which I will give you as an ability. The only things you need are Data Crystals (a whole lot of them if you wanna create some real strong ones). Any and all NPCs you create with this ability will be Unshakably Devoted & Absolutely Loyal to you no matter what. No Downfall of Castle and Country or other mind control shittery is gonna work on your cuties. A reminder. Just because they’re loyal & devoted to you doesn’t mean they will be yes (wo)men. You can customize everything about them but should you not want to go too deep into creating them, they’ll be automatically created to compliment your abilities and personality",,,
84,,600,Conceptual Attributes,Fate - The Island of Sin,"You have remarkable talent, knowledge, and experience in the realm of creating Mystic Codes. Even using sub-par materials, you can create top-notch Mystic Codes, capable of utilizing any mystic feature you choose to imbue into it, as well as accessing and providing abilities based off of the mystical attributes of the material used to create it, if any. It would be a casual matter for you to create a Mystic Code on the level of the Supreme Mystic Codes of Proper Human History’s Clock Tower. If you had truly exceptional components, and some means to imbue your creation with great levels of Mystery (such as through the weight of time and legend) you could even create a genuine Noble Phantasm.

But perhaps even more impressive than that is your ability to imbue objects you craft with conceptual attributes, should you so choose. You only begin with an association with a single concept; for instance, Artoria Caster, due to her Holy Sword Creation, would infuse any object she created with the concept of “sword”. This would allow even a shield to cut through objects, and would let a letter opener pierce conceptual defenses that was weak to swords as though it were actually a sword. You begin with this one concept, but you can learn others by studying the concept enough and introducing it into your life in a major way, although you couldn’t possibly acquire more than a single concept per year in this fashion.",,,
85,,600,Cenceptual Conjurer,Vasto of White,"You possess a unique ability to analyze and comprehend complex concepts and structures, allowing you to replicate and manipulate them to your advantage. With this power, you can duplicate the composition materials of any object or entity, imitate the concept of their making, sympathize with the experience of their growth, and reproduce the accumulated years of their existence. Additionally, you have the ability to overload any given object or entity, unleashing its full potential and surpassing its limits.

For example, you can use this power to manifest and control Zanpakuto Spirits, imbuing them with incredible strength and power. You can call upon them to fight alongside you in battle, and even enter their Final state, unleashing their true power. You can perform similar feats by creating other weapons, summons, beings, and more. ",,,
86,,600,Mind of God,Tsukihime,"The primary interest of Atlas is information and the manipulation thereof. This goes beyond simple precognition of day-to-day events or giving yourself an edge in combat - it is the manipulation of the progress of humankind as a whole, and prevention (or creation) of their extinction. A single human body cannot handle such information by itself - so instead, you made tools capable of accessing and storing the collective knowledge of humanity. You are capable of constructing devices that could create or manipulate pseudo-Spiritions, or virtual projections of the soul, and transmit that into a virtual space of your own designs as well. These devices are equal in magnitude and processing speed to a highly advanced Quantum Computer, and let you store or project a human consciousness, soul and all, into these spaces. With time and resources, you could recreate almost the entirety of planet Earth and the records of all its history, and store the whole of mankind within it...though doing such a strenuous, time-consuming process would take a lifetime by yourself. Recreating something such as a certain Moon-based digital space with this alone is a daunting, perhaps impossible prospect.

However, the ability to create such highly-advanced devices has come with a neat additional perk - namely, with the information it can calculate, it is possible to ‘observe’ the entirety of a world’s history and several probable futures, along with the conditions needed to make those futures happen or even prevent them entirely. It could even provide instructions or probabilities of success with new advances or superweapons not yet within the world on aiding these potential futures, creating Mystic Codes or wonders few could even dream of beforehand. With resources and time, perhaps you could make a device that can make those probabilities real by command alone, though that requires energy and conditions that a lone human being can’t generate. Finally, everything is here - the records of humanity can be preserved and made whole.",,,
87,,600,The Future is Now,Fate/Grand Order: SkyrimAnon,"CHALDEAS, a conceptual model of the Earth. Sheba, an Observation Lens that deserves the capitalization, used to observe the timeline through CHALDEAS. Rayshifting, a form of time travel involving a conversion into spiritrons. All these technologies were developed by Marisbury Animusphere, a Magus with a vision and a project to complete. With this purchase, you come to share this man's sheer unbridled genius. The secrets to spiritron based technology are yours, something that most people would term ""magitech"". As seen with the examples given previously, the potential of this form of technology is utterly absurd. With enough time and funding, not even the sky might be the limit to the kinds of devices you can develop. And this genius also lets you figure out how to combine your technology with other magical forces you might come across, to vastly expand the possibilities of what you could develop. Of course, as mentioned before, you are still limited by the time you spend in R&D, and the funding available to you. You might not have much of either thing, but it seems that a certain wish has rubbed off on you that could help solve that.

A big pile of money, that is the wish that Marisbury made on the Holy Grail. Of course, instead of a literal big pile of money, he instead received great fortune. Like him, you'll inexplicably find yourself with immense amounts of funds whenever you set out to develop some piece of technology, enough to comfortably afford whatever project(s) you are working on and have plenty left over for other projects. What's more, if you focus all of your funding into one project instead of saving the excess for later, you can massively shorten the amount of time any given project would take. As a reference, Marisbury used this to turn an almost century-long R&D cycle of multiple projects into a bit less than a single decade. Whatever it is that you set out to make, it's almost certain to shape the history of humanity for millenia to come.",,,
88,,600,Grand Forge of Steel,Vasto of White,"As a Master Craftsman with the Armeria Sequence One, you possess the ability to create weapons and equipment with nearly omnipotent effects. You can forge tools and armaments that can circumvent the supreme properties known as ""laws” and to strike at core concepts in the universe. By accessing a power called Armeria Sequence One, you can bring forth a seemingly illusory station of castings and soldering irons, where you can set and lock the sequence and then initialize it to trigger the forging process. As you do so, you call upon the powers of creation and set an anvil of dawn, from which a hammer forms in your hand.

You can use this hammer to shape and mold the metal into whatever weapon or equipment you desire, infusing it with your spiritual energy. Through the Armeria Sequence One, you can imbue the resulting tool with incredible abilities that can sever fate beyond the omnipotence of laws. As a Master Craftsman with this ability, you are unparalleled in your skill and can create weapons and equipment that rival those wielded by gods. With your creations, you can strike fear into the hearts of even the most powerful opponents and overcome any obstacle that stands in your way.",,,
89,,600,Dimensional Architect,Vasto of White,"You possess the ability to create new worlds and dimensions, much like Shirou created Hueco Mundo. By visualizing and imagining the new reality you wish to create, you can harness your innate power and bring it into existence. Your ability to create these new dimensions is limited only by your imagination and willpower, as well as the amount of energy you can channel into the process. 

As the creator and architect of these new dimensions, you have complete control over their properties, rules, and inhabitants, allowing you to shape them according to your desires. You can even create portals or gateways that connect these dimensions to other worlds or realities, granting you unprecedented access to the multiverse. This ability makes you a master of space and time, and grants you incredible versatility in both combat and exploration. However, be warned that creating new dimensions requires a great deal of energy, focus, and concentration, and can be mentally and physically taxing. Use your power wisely, and you can shape the very fabric of reality itself.",,,
90,,900,Scientific Genius,Generic Nasuverse,"New scientific discoveries and groundbreaking ideas just come naturally to you. You constantly push the bounds of what humans can accomplish through the power of knowledge and understanding, bringing human technology closer and closer to something that resembles magic.

These new discoveries are especially easy when you’re exposed to a Mystery related to that scientific discovery. Something about seeing and feeling that Mystery sparks something in you, lighting the way for how to unravel that Mystery and make it something possibly through technology.",,,
